clu_id,TRT,PPVT_FallK,ETW_FallK,ETW_SpringK,RTW_SpringK,trt_e,clus_PPVT,clus_TRT,clus_trt_e,meanppvt,ppvtc1,ppvtc2,mean_trt_e,ctrt_e1,ctrt_e2
22,0,85,0,0,16,-0.5,79.75,0.5,0,84.260506,5.25,-4.5105057,0.016806724,-0.5,-0.016806724
22,1,86,0,17,14,0.5,79.75,0.5,0,84.260506,6.25,-4.5105057,0.016806724,0.5,-0.016806724
22,0,85,0,2,6,-0.5,79.75,0.5,0,84.260506,5.25,-4.5105057,0.016806724,-0.5,-0.016806724
22,1,73,0,3,13,0.5,79.75,0.5,0,84.260506,-6.75,-4.5105057,0.016806724,0.5,-0.016806724
22,0,76,2,5,7,-0.5,79.75,0.5,0,84.260506,-3.75,-4.5105057,0.016806724,-0.5,-0.016806724
23,0,77,0,13,15,-0.5,82.25,0.5,0,84.260506,-5.25,-2.0105057,0.016806724,-0.5,-0.016806724
23,0,78,0,7,10,-0.5,82.25,0.5,0,84.260506,-4.25,-2.0105057,0.016806724,-0.5,-0.016806724
23,0,88,1,11,7,-0.5,82.25,0.5,0,84.260506,5.75,-2.0105057,0.016806724,-0.5,-0.016806724
23,1,82,1,15,15,0.5,82.25,0.5,0,84.260506,-0.25,-2.0105057,0.016806724,0.5,-0.016806724
23,1,76,0,33,16,0.5,82.25,0.5,0,84.260506,-6.25,-2.0105057,0.016806724,0.5,-0.016806724
23,0,85,0,20,15,-0.5,82.25,0.5,0,84.260506,2.75,-2.0105057,0.016806724,-0.5,-0.016806724
23,1,89,2,32,16,0.5,82.25,0.5,0,84.260506,6.75,-2.0105057,0.016806724,0.5,-0.016806724
23,1,83,3,30,16,0.5,82.25,0.5,0,84.260506,0.75,-2.0105057,0.016806724,0.5,-0.016806724
24,0,87,0,19,16,-0.5,81,0.5714286,0.071428575,84.260506,6,-3.2605057,0.016806724,-0.5714286,0.054621853
24,1,80,3,11,12,0.5,81,0.5714286,0.071428575,84.260506,-1,-3.2605057,0.016806724,0.42857143,0.054621853
24,0,71,0,10,7,-0.5,81,0.5714286,0.071428575,84.260506,-10,-3.2605057,0.016806724,-0.5714286,0.054621853
24,1,76,0,19,14,0.5,81,0.5714286,0.071428575,84.260506,-5,-3.2605057,0.016806724,0.42857143,0.054621853
24,1,87,0,38,16,0.5,81,0.5714286,0.071428575,84.260506,6,-3.2605057,0.016806724,0.42857143,0.054621853
24,0,86,1,21,12,-0.5,81,0.5714286,0.071428575,84.260506,5,-3.2605057,0.016806724,-0.5714286,0.054621853
24,1,80,1,31,16,0.5,81,0.5714286,0.071428575,84.260506,-1,-3.2605057,0.016806724,0.42857143,0.054621853
25,0,82,0,6,3,-0.5,80.833336,0.33333334,-0.16666667,84.260506,1.1666641,-3.4271698,0.016806724,-0.33333331,-0.18347339
25,0,81,1,5,4,-0.5,80.833336,0.33333334,-0.16666667,84.260506,0.16666412,-3.4271698,0.016806724,-0.33333331,-0.18347339
25,1,89,0,16,15,0.5,80.833336,0.33333334,-0.16666667,84.260506,8.1666641,-3.4271698,0.016806724,0.66666669,-0.18347339
25,1,70,2,0,6,0.5,80.833336,0.33333334,-0.16666667,84.260506,-10.833336,-3.4271698,0.016806724,0.66666669,-0.18347339
25,0,78,0,3,6,-0.5,80.833336,0.33333334,-0.16666667,84.260506,-2.8333359,-3.4271698,0.016806724,-0.33333331,-0.18347339
25,0,85,0,2,6,-0.5,80.833336,0.33333334,-0.16666667,84.260506,4.1666641,-3.4271698,0.016806724,-0.33333331,-0.18347339
26,1,77,3,10,9,0.5,82.5,0.5,0,84.260506,-5.5,-1.7605057,0.016806724,0.5,-0.016806724
26,0,85,0,1,10,-0.5,82.5,0.5,0,84.260506,2.5,-1.7605057,0.016806724,-0.5,-0.016806724
26,1,88,0,12,16,0.5,82.5,0.5,0,84.260506,5.5,-1.7605057,0.016806724,0.5,-0.016806724
26,0,80,0,2,7,-0.5,82.5,0.5,0,84.260506,-2.5,-1.7605057,0.016806724,-0.5,-0.016806724
26,1,83,0,13,13,0.5,82.5,0.5,0,84.260506,0.5,-1.7605057,0.016806724,0.5,-0.016806724
26,0,82,0,12,10,-0.5,82.5,0.5,0,84.260506,-0.5,-1.7605057,0.016806724,-0.5,-0.016806724
27,1,86,1,6,15,0.5,84.85714,0.42857143,-0.071428575,84.260506,1.1428604,0.59663391,0.016806724,0.5714286,-0.088235296
27,0,88,1,12,11,-0.5,84.85714,0.42857143,-0.071428575,84.260506,3.1428604,0.59663391,0.016806724,-0.42857143,-0.088235296
27,0,78,0,10,9,-0.5,84.85714,0.42857143,-0.071428575,84.260506,-6.8571396,0.59663391,0.016806724,-0.42857143,-0.088235296
27,0,87,0,9,11,-0.5,84.85714,0.42857143,-0.071428575,84.260506,2.1428604,0.59663391,0.016806724,-0.42857143,-0.088235296
27,0,82,0,6,6,-0.5,84.85714,0.42857143,-0.071428575,84.260506,-2.8571396,0.59663391,0.016806724,-0.42857143,-0.088235296
27,1,85,0,3,9,0.5,84.85714,0.42857143,-0.071428575,84.260506,0.14286041,0.59663391,0.016806724,0.5714286,-0.088235296
27,1,88,3,13,14,0.5,84.85714,0.42857143,-0.071428575,84.260506,3.1428604,0.59663391,0.016806724,0.5714286,-0.088235296
28,0,88,0,29,16,-0.5,86.400002,0.2,-0.30000001,84.260506,1.5999985,2.1394958,0.016806724,-0.19999999,-0.31680673
28,0,88,1,17,12,-0.5,86.400002,0.2,-0.30000001,84.260506,1.5999985,2.1394958,0.016806724,-0.19999999,-0.31680673
28,1,80,,12,13,0.5,86.400002,0.2,-0.30000001,84.260506,-6.4000015,2.1394958,0.016806724,0.80000001,-0.31680673
28,0,87,4,15,12,-0.5,86.400002,0.2,-0.30000001,84.260506,0.59999847,2.1394958,0.016806724,-0.19999999,-0.31680673
28,0,89,2,14,15,-0.5,86.400002,0.2,-0.30000001,84.260506,2.5999985,2.1394958,0.016806724,-0.19999999,-0.31680673
29,0,75,2,14,12,-0.5,83.5,0.5,0,84.260506,-8.5,-0.76050568,0.016806724,-0.5,-0.016806724
29,1,80,0,4,13,0.5,83.5,0.5,0,84.260506,-3.5,-0.76050568,0.016806724,0.5,-0.016806724
29,0,90,0,7,14,-0.5,83.5,0.5,0,84.260506,6.5,-0.76050568,0.016806724,-0.5,-0.016806724
29,1,81,0,6,8,0.5,83.5,0.5,0,84.260506,-2.5,-0.76050568,0.016806724,0.5,-0.016806724
29,1,83,2,15,10,0.5,83.5,0.5,0,84.260506,-0.5,-0.76050568,0.016806724,0.5,-0.016806724
29,1,86,0,10,12,0.5,83.5,0.5,0,84.260506,2.5,-0.76050568,0.016806724,0.5,-0.016806724
29,0,84,0,2,5,-0.5,83.5,0.5,0,84.260506,0.5,-0.76050568,0.016806724,-0.5,-0.016806724
29,0,89,2,15,12,-0.5,83.5,0.5,0,84.260506,5.5,-0.76050568,0.016806724,-0.5,-0.016806724
30,0,88,4,13,13,-0.5,86.571426,0.42857143,-0.071428575,84.260506,1.4285736,2.3109207,0.016806724,-0.42857143,-0.088235296
30,0,92,0,18,15,-0.5,86.571426,0.42857143,-0.071428575,84.260506,5.4285736,2.3109207,0.016806724,-0.42857143,-0.088235296
30,0,90,3,16,11,-0.5,86.571426,0.42857143,-0.071428575,84.260506,3.4285736,2.3109207,0.016806724,-0.42857143,-0.088235296
30,1,91,0,9,12,0.5,86.571426,0.42857143,-0.071428575,84.260506,4.4285736,2.3109207,0.016806724,0.5714286,-0.088235296
30,1,84,5,12,12,0.5,86.571426,0.42857143,-0.071428575,84.260506,-2.5714264,2.3109207,0.016806724,0.5714286,-0.088235296
30,1,81,4,37,15,0.5,86.571426,0.42857143,-0.071428575,84.260506,-5.5714264,2.3109207,0.016806724,0.5714286,-0.088235296
30,0,80,0,3,12,-0.5,86.571426,0.42857143,-0.071428575,84.260506,-6.5714264,2.3109207,0.016806724,-0.42857143,-0.088235296
31,1,88,0,29,16,0.5,84.166664,0.5,0,84.260506,3.8333359,-0.093841553,0.016806724,0.5,-0.016806724
31,1,87,2,39,16,0.5,84.166664,0.5,0,84.260506,2.8333359,-0.093841553,0.016806724,0.5,-0.016806724
31,1,78,0,16,16,0.5,84.166664,0.5,0,84.260506,-6.1666641,-0.093841553,0.016806724,0.5,-0.016806724
31,0,87,0,4,12,-0.5,84.166664,0.5,0,84.260506,2.8333359,-0.093841553,0.016806724,-0.5,-0.016806724
31,0,82,0,6,13,-0.5,84.166664,0.5,0,84.260506,-2.1666641,-0.093841553,0.016806724,-0.5,-0.016806724
31,0,83,0,6,12,-0.5,84.166664,0.5,0,84.260506,-1.1666641,-0.093841553,0.016806724,-0.5,-0.016806724
32,1,92,2,27,16,0.5,85.25,0.375,-0.125,84.260506,6.75,0.98949432,0.016806724,0.625,-0.14180672
